"Galaxy name" "RAJ2000 (deg)" "DEJ2000 (deg)" "D25 semi-major axis (arcmin)" "D25 semi-minor axis (arcmin)" "D25 positional angle, North-to-Northeast (deg)" "Inclination angle (deg)" "Luminosity distance (Mpc)" logSFR_HEC logM_HEC mean_exposure_Hr
NGC4013 179.630676 43.946812 2.438 0.609 58.6 90.0 19.7172 0.382 10.7669 23.3
PGC037779 179.890897 13.887412 0.405 0.261 39.9 57.15 11.324 -2.043 8.1199 18.22
PGC037814 179.99055 49.564227 0.363 0.204 40.2 65.57 20.0461 -1.852 8.3072 13.32
UGC06992 180.078783 50.652798 0.679 0.308 61.9 78.55 16.2625 -1.175 9.0988 26.0
NGC4037 180.348663 13.401019 1.188 1.188 0.0 21.9 17.2187 -1.032 9.6588 18.14
UGC07022 180.682177 45.19107 0.468 0.111 55.7 85.52 14.9755 -1.768 8.4793 24.98
PGC038113 180.899907 16.0555 0.328 0.203 105.9 54.61 17.5047 -0.921 9.2431 13.68
UGC07035 180.917232 2.64148 0.697 0.192 149.5 90.0 9.9541 -1.691 8.5008 12.61
PGC038153 181.019827 28.980895 0.28 0.134 87.0 64.39 17.1401 -1.361 8.6288 6.46
NGC4064 181.046763 18.443822 1.611 0.653 151.4 74.69 11.7699 -0.601 9.9796 18.65
PGC038277 181.316013 30.855591 0.315 0.258 161.2 39.11 12.7057 -1.447 8.464 17.19
PGC038286 181.347111 28.36575 0.318 0.173 50.4 58.32 11.3747 -2.316 8.0138 17.06
NGC4088 181.391307 50.538839 2.741 1.033 46.6 71.34 14.9639 0.586 10.5893 25.59
NGC4096 181.50476 47.478454 2.825 0.713 20.0 80.55 12.1768 -0.046 10.2795 24.98
UGC07094 181.544775 42.955773 0.608 0.243 38.3 90.0 9.0116 -1.885 8.126 11.63
NGC4117 181.942092 43.126328 0.785 0.317 20.5 90.0 17.2982 -0.863 9.7153 20.98
NGC4118 181.970247 43.111059 0.34 0.191 148.3 64.42 13.8633 -1.862 8.0889 19.84
NGC4123 182.046336 2.878302 1.588 1.159 125.4 44.26 17.4857 0.073 10.2363 11.96
NGC4129 182.221684 -9.036429 1.288 0.357 93.6 90.0 20.0666 -0.074 9.987 18.37
UGC07129 182.229486 41.740859 0.577 0.39 73.1 50.41 11.4371 -0.64 9.1275 19.45
NGC4136 182.323779 29.927657 1.172 1.172 0.0 22.02 9.6828 -1.067 9.48 10.05
NGC4151 182.636002 39.405794 1.439 1.107 50.0 42.0 7.7928 -0.303 10.0618 15.37
NGC4150 182.640252 30.401578 0.993 0.664 147.8 58.11 13.6166 -0.835 9.9037 16.3
IC0767 182.761405 12.103958 0.464 0.34 75.1 68.87 19.1841 -1.772 9.3111 5.66
NGC4178 183.192895 10.86571 2.328 0.622 31.7 77.44 13.8831 -0.575 9.6858 17.31
PGC038959 183.232834 53.460445 0.225 0.134 171.4 90.0 20.6242 -2.167 8.3428 6.51
PGC038998 183.347369 29.921853 0.314 0.139 97.0 80.5 17.2982 -2.053 8.1096 9.97
PGC039006 183.362471 50.710395 0.313 0.211 160.8 50.0 2.6207 -2.701 7.3797 17.84
NGC4205 183.731439 63.782797 0.836 0.329 31.3 69.12 16.8477 -0.505 9.5119 21.96
IC3065 183.802374 14.43285 0.622 0.44 178.9 53.93 16.3911 -1.816 9.2813 15.02
NGC4204 183.810376 20.658714 2.028 2.028 0.0 0.0 7.8705 -1.461 8.2856 18.22
NGC4207 183.877018 9.584931 0.752 0.387 122.2 70.51 16.1199 -0.304 9.8687 11.78
NGC4212 183.913876 13.901575 1.399 0.845 73.6 54.56 17.1018 0.151 10.3469 17.62
NGC4218 183.943281 48.131 0.513 0.329 134.9 53.04 14.283 -0.918 9.1952 15.52
NGC4217 183.962198 47.091897 2.767 0.748 49.8 84.99 19.0615 0.592 10.7583 24.83
IC3077 183.984722 14.432927 0.537 0.367 179.3 47.89 9.1201 -1.884 8.0768 14.95
NGC4222 184.094459 13.307283 1.416 0.212 56.0 90.0 19.8196 -0.596 9.6942 17.64
IC3097 184.254573 9.407577 0.397 0.265 26.1 90.0 17.6455 -1.788 8.4562 18.44
NGC4237 184.297597 15.323903 1.094 0.705 105.4 51.75 19.6665 -0.037 10.3915 17.51
PGC039413 184.363595 17.65051 0.501 0.302 128.4 64.99 17.5361 -1.753 9.2946 17.21
IC3120 184.563851 13.749113 0.317 0.269 133.6 34.54 16.0991 -1.686 7.9387 16.33
NGC4254 184.706731 14.416792 2.518 2.518 0.0 20.13 14.0614 0.689 10.7552 15.31
PGC039655 184.842173 5.910499 0.367 0.203 164.3 57.71 17.8474 -1.278 8.8008 14.78
UGC07366 184.869514 17.230436 0.483 0.32 133.8 60.85 17.52 -1.836 8.9222 15.08
NGC4274 184.960745 29.614339 1.815 0.849 101.8 68.03 19.4089 0.103 10.994 17.17
NGC4278 185.028264 29.28064 1.445 1.445 0.0 15.59 15.5787 -1.054 10.7551 17.07
NGC4282 185.101221 5.572856 0.442 0.281 99.7 57.1 17.4978 -1.064 9.4404 5.88
NGC4288 185.158929 46.291708 0.851 0.674 137.7 42.14 20.8526 -0.733 9.3511 25.66
NGC4286 185.175327 29.345862 0.542 0.192 144.5 82.27 13.0887 -1.132 9.1304 13.81
UGC07399A 185.203422 17.487159 0.7 0.341 79.9 90.0 17.1571 -1.711 9.1022 17.06
PGC039904 185.297146 17.638618 0.33 0.178 58.3 58.66 16.9824 -1.352 8.6936 17.68
NGC4293 185.303964 18.382999 3.119 1.858 72.0 59.33 14.3348 -0.24 10.6049 14.98
NGC4294 185.324265 11.51062 1.343 0.51 148.3 70.17 16.3549 -0.223 9.7785 16.57
NGC4308 185.486908 30.074331 0.469 0.344 21.0 64.26 13.0765 -1.826 9.232 17.89
PGC040015 185.490777 2.345078 0.255 0.255 0.0 26.26 16.9824 -0.94 8.8583 14.51
NGC4306 185.517102 12.787496 0.746 0.53 142.4 53.3 17.9283 -1.689 9.5247 16.49
NGC4307 185.52355 9.043709 1.718 0.407 23.9 90.0 20.4901 -0.634 10.3643 14.36
UGC07436 185.58138 14.760793 0.637 0.356 120.6 75.21 15.7197 -1.893 9.1004 18.5
NGC4310 185.60956 29.208839 0.966 0.382 147.9 90.0 17.2995 -0.802 9.8353 17.5
NGC4303A 185.613404 4.566273 0.568 0.568 0.0 16.0 17.6486 -0.949 9.2426 13.87
NGC4313 185.660499 11.800982 1.901 0.494 141.2 90.0 14.0155 -0.867 10.1368 15.24
IC3229 185.719973 6.679958 0.617 0.205 43.2 75.32 19.4089 -1.474 8.666 11.52
NGC4321 185.728667 15.822249 3.048 3.048 0.0 24.0 15.4182 0.639 10.9713 15.1
NGC4330 185.82114 11.36784 1.145 0.298 59.5 78.85 18.9697 -0.284 9.9829 17.96
NGC4336 185.874263 19.426888 0.771 0.404 162.3 66.59 17.5808 -1.267 9.7374 18.49
NGC4350 185.990895 16.693276 1.399 0.665 28.4 82.42 20.4776 -0.974 10.7852 18.32
IC3267 186.02305 7.041326 0.605 0.605 0.0 15.13 17.6349 -0.786 9.3432 7.5
PGC040339 186.060513 4.225964 0.348 0.17 23.1 90.0 17.6081 -1.576 8.6326 16.6
NGC4356 186.060915 8.53638 1.005 0.365 39.7 71.44 16.4563 -0.969 9.7883 14.25
UGC07485 186.092358 21.159993 0.366 0.231 119.6 70.81 17.5473 -1.278 8.6824 19.57
PGC040365 186.091779 13.028343 0.256 0.256 0.0 18.45 4.0694 -2.238 9.0447 12.74
NGC4366 186.195765 7.353015 0.427 0.155 41.2 90.0 17.6523 -1.8 9.0344 18.21
IC3292 186.201524 18.195103 0.547 0.408 133.8 51.16 15.7551 -2.048 8.894 7.73
NGC4370 186.228848 7.444701 0.809 0.531 79.3 53.41 20.6063 -0.584 10.1356 17.17
NGC4374 186.26544 12.887109 3.707 3.221 133.4 39.61 17.7249 -0.987 11.2392 17.8
NGC4384 186.299697 54.506199 0.637 0.494 84.9 41.69 19.9525 -0.325 9.678 30.28
IC3303 186.313303 12.714594 0.477 0.276 70.5 90.0 15.6235 -1.658 8.8334 9.82
NGC4380 186.342285 10.016803 1.675 0.891 158.3 61.88 16.5973 -0.948 10.3805 16.61
IC3311 186.387739 12.260468 0.923 0.222 134.5 90.0 20.5994 -1.055 9.0561 13.63
NGC4390 186.461103 10.459049 0.76 0.564 99.0 43.28 19.0414 -0.753 9.6574 18.43
IC3322 186.475479 7.554779 1.164 0.323 156.4 77.22 20.0154 -0.908 9.6467 8.96
IC3328 186.491231 10.053756 0.439 0.439 0.0 26.02 16.9153 -1.862 9.1728 14.53
IC3331 186.522226 11.812198 0.512 0.271 50.8 90.0 17.6443 -1.706 8.7599 16.46
NGC4405 186.529729 16.180965 0.762 0.512 20.6 52.57 18.5982 -0.488 10.0238 18.78
NGC4414 186.612942 31.223514 0.975 0.561 162.3 56.58 17.6155 0.778 10.9442 16.0
PGC040707 186.63836 12.743011 0.271 0.271 0.0 29.47 17.6799 -2.058 8.8285 13.72
NGC4415 186.668666 8.435683 0.641 0.565 6.1 31.3 15.6635 -1.676 9.5569 18.05
NGC4416 186.694584 7.91885 0.785 0.687 112.2 29.37 17.7307 -0.721 9.3423 18.12
NGC4411B 186.696671 8.88459 0.962 0.962 0.0 27.27 17.656 -1.087 9.4398 18.06
NGC4409 186.743694 2.494399 0.91 0.443 9.2 63.35 15.6321 -0.376 9.7552 17.43
NGC4423 186.787635 5.880664 1.026 0.205 20.2 90.0 14.0645 -1.215 9.109 16.37
NGC4424 186.7987 9.420442 1.52 0.787 95.2 64.5 15.9745 -0.375 10.0012 18.41
PGC040819 186.823911 14.147368 0.67 0.67 0.0 90.0 3.3152 -2.572 8.6674 9.76
IC3369 186.820533 16.024574 0.405 0.276 136.0 61.98 18.493 -1.752 9.1967 9.22
NGC4441 186.83484 64.801538 2.065 1.479 171.3 50.3 19.3089 -0.317 9.7971 35.07
NGC4430 186.859668 6.262971 1.012 0.75 74.7 43.81 16.1181 -0.728 9.9054 17.64
NGC4431 186.864094 12.290324 0.766 0.44 179.4 69.04 15.9915 -1.692 9.5364 15.88
NGC4436 186.921931 12.315969 0.83 0.394 113.8 82.73 17.6794 -1.521 9.4265 16.93
UGC07580 186.978478 8.090424 0.337 0.265 45.6 51.71 16.0145 -2.054 9.0135 5.28
NGC4445 187.066433 9.436304 1.268 0.248 104.8 90.0 15.5034 -1.393 9.6804 18.43
NGC4450 187.122983 17.084899 2.729 1.888 172.7 48.76 14.9634 -0.707 10.7617 18.25
NGC4455 187.183753 22.820801 0.803 0.28 15.7 90.0 7.7027 -1.799 8.6794 17.73
PGC041090 187.22895 9.42112 0.212 0.152 23.1 52.49 17.5702 -1.894 8.1926 18.53
NGC4457 187.245915 3.570599 1.396 1.183 78.5 34.65 17.378 -0.097 10.6 17.27
