Galaxy name	RAJ2000 (deg)	DEJ2000 (deg)	D25 semi-major axis (arcmin)	D25 semi-minor axis (arcmin)	D25 positional angle, North-to-Northeast (deg)	Inclination angle (deg)	Luminosity distance (Mpc)	logSFR_HEC	logM_HEC	mean_exposure_Hr
PGC032664	163.202681	0.034526	0.251	0.18	67.9	49.88	20.797	-1.346	8.6154	16.05
PGC032843	163.935207	17.005011	0.313	0.313	0.0	26.5	18.5534	-1.375	8.6844	16.06
NGC3504	165.796792	27.972307	1.239	1.239	0.0	26.38	13.5519	0.342	10.1856	17.45
NGC3507	165.855792	18.135333	1.459	1.253	93.2	31.88	14.7425	-0.685	10.2144	14.97
IC0676	168.165926	9.055782	0.923	0.653	0.1	51.39	20.0447	-0.076	9.9552	13.53
PGC034439	169.25126	50.584781	0.379	0.329	42.4	34.35	16.9232	-1.726	8.4747	28.35
PGC034522	169.491825	17.441354	0.446	0.391	156.8	35.73	13.8404	-2.071	8.9661	13.98
UGC06320	169.571857	18.847079	0.673	0.673	0.0	21.98	18.611	-0.599	9.3032	17.1
NGC3675	171.534275	43.586489	2.951	1.637	178.3	59.52	15.4792	0.379	10.8683	23.54
NGC3686	171.933141	17.224116	1.452	1.107	19.2	41.7	18.2477	-0.052	10.3406	14.98
NGC3726	173.338209	47.029083	2.825	1.849	14.2	50.47	13.9402	0.037	10.4085	21.76
NGC3738	173.953333	54.524444	1.132	0.813	156.4	50.0	4.9278	-1.671	8.7845	29.01
PGC036066	174.648627	57.8742	0.25	0.194	153.6	43.86	18.2653	-1.216	7.6207	24.69
UGC06628	175.027811	45.942918	1.069	0.927	79.8	33.19	16.9824	-1.205	8.4788	25.68
NGC3810	175.244841	11.471119	1.675	1.143	28.5	48.22	16.1984	0.393	10.469	17.85
PGC036653	176.40395	31.29957	0.397	0.234	22.8	58.76	16.0694	-0.493	9.0701	17.3
NGC3870	176.48585	50.199801	0.521	0.373	22.5	49.69	12.484	-0.957	9.0955	27.96
NGC3893	177.159112	48.710766	1.346	0.714	160.9	59.88	17.3812	0.469	10.5546	24.1
NGC3896	177.234706	48.674771	0.708	0.441	128.4	55.43	17.9366	-1.144	9.0791	26.3
UGC06805	177.551105	42.074632	0.305	0.232	121.1	45.24	20.1038	-0.865	9.2502	23.24
NGC3913	177.662241	55.353889	0.822	0.698	151.5	32.42	16.9824	-1.049	9.372	23.75
NGC3931	177.806015	52.000865	0.566	0.445	156.9	47.46	17.872	-1.179	9.494	15.53
NGC3930	177.941022	38.014949	1.33	0.988	38.1	43.01	12.6744	-1.241	8.9626	18.56
NGC3928	177.94848	48.683144	0.684	0.684	0.0	27.97	15.6577	-0.428	9.7506	25.97
NGC3949	178.423842	47.858768	1.13	0.667	116.4	56.03	18.6889	0.364	10.3324	25.97
IC0745	178.55113	0.136644	0.389	0.389	0.0	15.41	18.8273	-0.429	9.4025	18.11
NGC3985	179.175534	48.333948	0.562	0.368	67.3	56.21	16.6797	-0.589	9.5332	23.5
UGC06923	179.206623	53.160346	0.477	0.346	174.2	49.32	16.708	-1.168	9.147	12.46
UGC06930	179.322396	49.283283	0.706	0.634	23.3	26.54	16.9824	-0.731	9.2252	11.55
PGC037779	179.890897	13.887412	0.405	0.261	39.9	57.15	11.324	-2.043	8.1199	18.22
NGC4037	180.348663	13.401019	1.188	1.188	0.0	21.9	17.2187	-1.032	9.6588	18.14
PGC038113	180.899907	16.0555	0.328	0.203	105.9	54.61	17.5047	-0.921	9.2431	13.68
PGC038277	181.316013	30.855591	0.315	0.258	161.2	39.11	12.7057	-1.447	8.464	17.19
PGC038286	181.347111	28.36575	0.318	0.173	50.4	58.32	11.3747	-2.316	8.0138	17.06
NGC4123	182.046336	2.878302	1.588	1.159	125.4	44.26	17.4857	0.073	10.2363	11.96
UGC07129	182.229486	41.740859	0.577	0.39	73.1	50.41	11.4371	-0.64	9.1275	19.45
NGC4136	182.323779	29.927657	1.172	1.172	0.0	22.02	9.6828	-1.067	9.48	10.05
NGC4151	182.636002	39.405794	1.439	1.107	50.0	42.0	7.7928	-0.303	10.0618	15.37
NGC4150	182.640252	30.401578	0.993	0.664	147.8	58.11	13.6166	-0.835	9.9037	16.3
PGC039006	183.362471	50.710395	0.313	0.211	160.8	50.0	2.6207	-2.701	7.3797	17.84
IC3065	183.802374	14.43285	0.622	0.44	178.9	53.93	16.3911	-1.816	9.2813	15.02
NGC4204	183.810376	20.658714	2.028	2.028	0.0	0.0	7.8705	-1.461	8.2856	18.22
NGC4212	183.913876	13.901575	1.399	0.845	73.6	54.56	17.1018	0.151	10.3469	17.62
NGC4218	183.943281	48.131	0.513	0.329	134.9	53.04	14.283	-0.918	9.1952	15.52
IC3077	183.984722	14.432927	0.537	0.367	179.3	47.89	9.1201	-1.884	8.0768	14.95
NGC4237	184.297597	15.323903	1.094	0.705	105.4	51.75	19.6665	-0.037	10.3915	17.51
IC3120	184.563851	13.749113	0.317	0.269	133.6	34.54	16.0991	-1.686	7.9387	16.33
NGC4254	184.706731	14.416792	2.518	2.518	0.0	20.13	14.0614	0.689	10.7552	15.31
PGC039655	184.842173	5.910499	0.367	0.203	164.3	57.71	17.8474	-1.278	8.8008	14.78
NGC4278	185.028264	29.28064	1.445	1.445	0.0	15.59	15.5787	-1.054	10.7551	17.07
NGC4282	185.101221	5.572856	0.442	0.281	99.7	57.1	17.4978	-1.064	9.4404	5.88
NGC4288	185.158929	46.291708	0.851	0.674	137.7	42.14	20.8526	-0.733	9.3511	25.66
PGC039904	185.297146	17.638618	0.33	0.178	58.3	58.66	16.9824	-1.352	8.6936	17.68
NGC4293	185.303964	18.382999	3.119	1.858	72.0	59.33	14.3348	-0.24	10.6049	14.98
PGC040015	185.490777	2.345078	0.255	0.255	0.0	26.26	16.9824	-0.94	8.8583	14.51
NGC4306	185.517102	12.787496	0.746	0.53	142.4	53.3	17.9283	-1.689	9.5247	16.49
NGC4303A	185.613404	4.566273	0.568	0.568	0.0	16.0	17.6486	-0.949	9.2426	13.87
NGC4321	185.728667	15.822249	3.048	3.048	0.0	24.0	15.4182	0.639	10.9713	15.1
IC3267	186.02305	7.041326	0.605	0.605	0.0	15.13	17.6349	-0.786	9.3432	7.5
